genre,rating,episodes,members
drama,9.37,1,200630
romance,9.37,1,200630
school,9.37,1,200630
supernatural,9.37,1,200630
action,9.26,64,793665
adventure,9.26,64,793665
drama,9.26,64,793665
fantasy,9.26,64,793665
magic,9.26,64,793665
military,9.26,64,793665
shounen,9.26,64,793665
action,9.25,51,114262
comedy,9.25,51,114262
historical,9.25,51,114262
parody,9.25,51,114262
samurai,9.25,51,114262
sci-fi,9.25,51,114262
shounen,9.25,51,114262
sci-fi,9.17,24,673572
thriller,9.17,24,673572
action,9.16,51,151266
comedy,9.16,51,151266
historical,9.16,51,151266
parody,9.16,51,151266
samurai,9.16,51,151266
sci-fi,9.16,51,151266
shounen,9.16,51,151266
comedy,9.15,10,93351
drama,9.15,10,93351
school,9.15,10,93351
shounen,9.15,10,93351
sports,9.15,10,93351
action,9.13,148,425855
adventure,9.13,148,425855
shounen,9.13,148,425855
super power,9.13,148,425855
drama,9.11,110,80679
military,9.11,110,80679
sci-fi,9.11,110,80679
space,9.11,110,80679
action,9.1,1,72534
comedy,9.1,1,72534
historical,9.1,1,72534
parody,9.1,1,72534
samurai,9.1,1,72534
sci-fi,9.1,1,72534
shounen,9.1,1,72534
action,9.11,13,81109
comedy,9.11,13,81109
historical,9.11,13,81109
parody,9.11,13,81109
samurai,9.11,13,81109
sci-fi,9.11,13,81109
shounen,9.11,13,81109
drama,9.06,24,456749
fantasy,9.06,24,456749
romance,9.06,24,456749
slice of life,9.06,24,456749
supernatural,9.06,24,456749
drama,9.05,1,102733
school,9.05,1,102733
shounen,9.05,1,102733
action,9.04,201,336376
comedy,9.04,201,336376
historical,9.04,201,336376
parody,9.04,201,336376
samurai,9.04,201,336376
sci-fi,9.04,201,336376
shounen,9.04,201,336376
action,8.98,25,572888
drama,8.98,25,572888
mecha,8.98,25,572888
military,8.98,25,572888
sci-fi,8.98,25,572888
super power,8.98,25,572888
comedy,8.93,25,179342
drama,8.93,25,179342
school,8.93,25,179342
shounen,8.93,25,179342
sports,8.93,25,179342
adventure,8.93,1,466254
drama,8.93,1,466254
supernatural,8.93,1,466254
drama,8.92,22,416397
music,8.92,22,416397
romance,8.92,22,416397
school,8.92,22,416397
shounen,8.92,22,416397
adventure,8.88,10,75894
fantasy,8.88,10,75894
historical,8.88,10,75894
mystery,8.88,10,75894
seinen,8.88,10,75894
slice of life,8.88,10,75894
supernatural,8.88,10,75894
fantasy,8.84,1,226193
slice of life,8.84,1,226193
action,8.83,25,715151
mecha,8.83,25,715151
military,8.83,25,715151
school,8.83,25,715151
sci-fi,8.83,25,715151
super power,8.83,25,715151
comedy,8.83,75,157670
drama,8.83,75,157670
shounen,8.83,75,157670
sports,8.83,75,157670
action,8.83,4,129307
